"","id","ageGrp","sex","maritalStat","province","popCenter","eduLevel","feelRushed","extraTime","durSleep","durMealPrep","durEating","durAlone","durDriving","durWork","durShoolSite","durSchoolOnline","durStudy","MRW_20","MRW_30","MRW_40","worked12m","workedWeek","enrollStat","dailyTexts","timeSlowDown","timeWorkaholic","timeNotFamFriends","timeWantAlone","province_char","maritalStat_char","eduLevel_char","isFeelRushed"
"13841",23840,2,2,6,35,1,6,2,6,360,170,0,850,0,0,450,0,315,1,2,1,1,2,1,2,1,1,1,2,"ON","Single, never married","Bachelor's degree",1
"13842",23841,2,1,6,59,1,2,1,5,180,60,30,405,105,0,0,0,0,NA,NA,NA,1,1,NA,6,1,1,1,2,"BC","Single, never married","High school diploma or equivalency",1
"13843",23842,5,1,1,35,1,1,6,6,435,30,20,770,55,420,0,0,0,NA,NA,NA,1,1,NA,1,2,1,1,2,"ON","Married","Less than high school dimploma or its equivalent",0
"13844",23843,1,1,6,35,1,2,3,2,735,40,30,565,35,0,15,0,0,1,1,2,2,2,1,1,2,2,2,2,"ON","Single, never married","High school diploma or equivalency",1
"13845",23844,6,2,1,35,1,3,1,6,580,165,225,415,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"ON","Married","Trade certificate or diploma",1
"13846",23845,6,2,3,35,1,4,6,6,600,105,60,1170,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"ON","Widowed","College, CEGEP, or other non-university certificate or dimploma",0
"13847",23846,3,2,1,24,1,4,1,4,495,30,65,345,0,145,0,0,0,NA,NA,NA,1,1,NA,3,2,1,1,2,"QC","Married","College, CEGEP, or other non-university certificate or dimploma",1
"13848",23847,7,2,3,13,1,1,1,6,610,0,25,830,0,0,0,0,0,NA,2,2,2,2,NA,8,1,1,1,2,"NB","Widowed","Less than high school dimploma or its equivalent",1
"13849",23848,5,1,1,35,1,6,2,3,510,110,0,0,140,0,0,0,0,NA,NA,NA,1,1,NA,8,1,2,1,2,"ON","Married","Bachelor's degree",1
"13850",23849,7,1,6,46,1,NA,3,6,540,15,65,1440,0,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"MB","Single, never married",NA,1
"13851",23850,6,2,3,35,1,4,4,1,500,0,0,485,75,0,0,0,0,NA,NA,2,2,2,NA,8,2,2,2,2,"ON","Widowed","College, CEGEP, or other non-university certificate or dimploma",0
"13852",23851,2,2,6,48,1,4,1,5,495,40,20,1320,165,525,0,0,0,NA,NA,NA,1,1,NA,2,1,2,2,1,"AB","Single, never married","College, CEGEP, or other non-university certificate or dimploma",1
"13853",23852,2,1,1,46,1,2,2,2,360,0,30,205,50,565,0,0,0,NA,NA,NA,1,1,NA,4,2,2,1,1,"MB","Married","High school diploma or equivalency",1
"13854",23853,5,1,4,35,1,1,6,6,270,30,0,945,30,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,1,"ON","Separated","Less than high school dimploma or its equivalent",0
