PUMFID,ageGrp,sex,maritalStat,province,popCenter,eduLevel,feelRushed,extraTime,durSleep,durMealPrep,durEating,durAlone,durDriving,durWork,durShoolSite,durSchoolOnline,durStudy,mainStudy,mainJobHunting,mainWork,worked12m,workedWeek,enrollStat,dailyTexts,timeSlowDown,timeWorkaholic,timeNotFamFriends,timeWantAlone,province_fact,maritalStat_fact,eduLevel_fact
16269,1,1,6,13,1,1,3,1,780,0,60,870,0,0,0,0,0,1,2,2,2,2,1,2,2,1,2,2,NB,"Single, never married",Less than high school dimploma or its equivalent
16270,2,1,6,35,1,1,6,4,570,180,60,840,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,1,1,ON,"Single, never married",Less than high school dimploma or its equivalent
16271,3,2,1,35,1,7,1,5,450,95,55,1105,20,410,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,1,ON,Married,"University certificate, diploma, degree above the BA level"
16272,2,1,6,59,1,4,2,6,495,0,100,735,90,515,0,0,0,NA,NA,NA,1,1,NA,1,2,1,1,2,BC,"Single, never married","College, CEGEP, or other non-university certificate or dimploma"
16273,5,2,4,48,1,6,2,6,480,35,0,850,40,655,0,0,0,NA,NA,NA,1,1,NA,1,1,1,2,2,AB,Separated,Bachelor's degree
16274,6,2,1,24,2,1,6,6,630,190,105,215,0,0,0,0,0,NA,2,2,2,2,NA,8,NA,2,2,2,QC,Married,Less than high school dimploma or its equivalent
16275,5,2,5,24,1,5,6,6,620,40,100,1410,65,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,QC,Divorced,University certificate or dimploma below the bachelor's level
16276,3,2,3,13,1,6,6,1,465,65,0,920,0,455,0,0,0,NA,NA,NA,1,1,NA,8,2,2,1,2,NB,Widowed,Bachelor's degree
16277,4,2,1,59,1,7,1,4,360,45,50,360,195,0,0,0,0,NA,NA,NA,1,1,NA,5,1,2,1,1,BC,Married,"University certificate, diploma, degree above the BA level"
16278,6,1,1,12,1,4,3,2,495,135,60,300,20,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,NS,Married,"College, CEGEP, or other non-university certificate or dimploma"
16279,3,2,1,35,1,4,1,6,505,85,60,615,60,480,0,0,0,NA,NA,NA,1,1,NA,5,2,1,1,2,ON,Married,"College, CEGEP, or other non-university certificate or dimploma"
16280,5,1,6,10,1,NA,2,6,600,75,0,495,35,0,0,0,0,NA,NA,NA,1,1,NA,8,1,2,2,2,NL,"Single, never married",NA
16281,4,2,5,48,2,4,1,4,500,10,10,930,70,510,0,0,0,NA,NA,NA,1,1,NA,1,1,1,1,1,AB,Divorced,"College, CEGEP, or other non-university certificate or dimploma"
16282,4,1,1,24,1,6,1,5,540,60,90,420,10,210,0,0,0,NA,NA,NA,1,1,NA,1,2,1,2,1,QC,Married,Bachelor's degree
16283,6,1,1,35,1,6,1,6,510,0,170,595,20,225,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,ON,Married,Bachelor's degree
16284,5,2,4,10,1,4,2,4,495,0,170,510,0,0,0,0,0,NA,NA,NA,1,1,NA,8,2,NA,1,2,NL,Separated,"College, CEGEP, or other non-university certificate or dimploma"
16285,6,1,1,24,1,3,4,6,480,0,195,265,35,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2,QC,Married,Trade certificate or diploma
16286,2,2,6,13,2,2,1,6,330,160,160,570,0,0,0,0,0,NA,2,2,2,2,NA,1,1,1,2,1,NB,"Single, never married",High school diploma or equivalency
16287,5,1,1,24,1,4,2,6,450,75,75,270,75,0,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,2,QC,Married,"College, CEGEP, or other non-university certificate or dimploma"
16288,6,2,1,35,1,1,4,4,635,295,0,180,50,0,0,0,0,NA,2,2,2,2,NA,1,2,2,1,2,ON,Married,Less than high school dimploma or its equivalent
16289,6,2,1,35,1,1,6,6,510,60,165,315,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,ON,Married,Less than high school dimploma or its equivalent
16290,6,1,1,24,1,2,4,1,825,25,50,1000,25,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,1,QC,Married,High school diploma or equivalency
16291,2,2,6,35,1,6,3,6,240,75,55,1335,0,0,0,0,0,NA,NA,NA,1,1,2,1,2,2,2,2,ON,"Single, never married",Bachelor's degree
16292,3,1,2,59,1,2,4,5,530,30,55,855,30,480,0,0,0,NA,NA,NA,1,1,NA,8,2,2,1,2,BC,Living common-law,High school diploma or equivalency
16293,6,2,3,35,1,2,3,4,735,45,30,1110,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,ON,Widowed,High school diploma or equivalency
16294,5,2,1,13,1,4,2,2,745,30,30,190,80,420,0,0,0,NA,NA,NA,1,1,NA,8,1,2,2,2,NB,Married,"College, CEGEP, or other non-university certificate or dimploma"
16295,5,1,5,11,3,6,3,5,410,60,65,1440,0,490,0,0,0,NA,NA,NA,1,1,NA,8,1,2,2,2,PEI,Divorced,Bachelor's degree
16296,3,2,1,35,1,4,1,6,510,60,50,745,30,325,0,0,0,NA,NA,NA,1,1,NA,2,2,1,1,1,ON,Married,"College, CEGEP, or other non-university certificate or dimploma"
16297,5,1,1,35,1,6,2,4,480,35,20,840,40,765,0,0,0,NA,NA,NA,1,1,NA,3,2,2,1,2,ON,Married,Bachelor's degree
16298,2,2,1,35,1,6,2,5,600,60,135,0,0,0,0,0,0,NA,2,2,2,2,NA,3,1,2,2,1,ON,Married,Bachelor's degree
16299,5,2,2,35,1,2,5,4,940,35,0,110,20,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2,ON,Living common-law,High school diploma or equivalency
16300,7,2,1,24,1,3,6,4,510,170,165,235,20,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,QC,Married,Trade certificate or diploma
16301,3,2,4,10,1,4,1,6,330,260,155,15,0,0,0,0,0,NA,NA,NA,1,1,NA,4,2,2,2,2,NL,Separated,"College, CEGEP, or other non-university certificate or dimploma"
16302,6,2,1,24,2,5,5,6,570,270,285,475,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,QC,Married,University certificate or dimploma below the bachelor's level
16303,5,2,1,35,1,4,2,3,480,30,50,540,100,600,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,ON,Married,"College, CEGEP, or other non-university certificate or dimploma"
16304,1,2,6,35,1,2,3,3,540,30,30,150,0,0,0,0,0,NA,NA,2,2,2,1,7,1,2,2,2,ON,"Single, never married",High school diploma or equivalency
16305,2,1,2,59,1,NA,2,4,450,0,30,150,120,645,0,0,0,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,BC,Living common-law,NA
16306,2,1,1,35,1,2,1,4,540,60,70,80,0,0,0,0,0,NA,NA,NA,1,1,NA,8,NA,2,2,2,ON,Married,High school diploma or equivalency
