PUMFID,ageGrp,sex,maritalStat,province,popCenter,eduLevel,feelRushed,extraTime,durSleep,durMealPrep,durEating,durAlone,durDriving,durWork,durShoolSite,durSchoolOnline,durStudy,mainStudy,mainJobHunting,mainWork,worked12m,workedWeek,enrollStat,dailyTexts,timeSlowDown,timeWorkaholic,timeNotFamFriends,timeWantAlone
15299,7,1,3,35,1,6,6,3,470,0,255,635,150,0,0,0,0,NA,2,2,2,2,NA,1,2,1,1,2
15300,5,2,5,59,1,1,3,4,1000,20,10,1440,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
15301,2,1,6,35,1,6,3,3,750,60,105,1440,0,0,0,0,0,NA,NA,NA,1,1,NA,2,2,2,1,2
15302,3,2,2,24,1,5,2,6,480,50,30,170,85,545,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,NA
15303,5,2,6,12,1,2,3,6,600,30,80,1260,0,0,0,0,0,NA,NA,NA,1,1,NA,8,1,1,2,2
15304,4,2,5,13,1,NA,1,5,555,75,0,15,60,480,0,0,0,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA
15305,7,2,1,47,1,1,2,2,775,210,60,480,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
15306,7,2,1,47,1,3,2,6,300,90,150,495,45,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
15307,6,2,1,11,3,4,1,3,495,10,25,440,145,0,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,1
15308,5,2,5,35,1,2,1,1,450,0,180,840,0,0,0,0,0,NA,NA,NA,1,1,NA,2,1,2,2,2
15309,5,1,1,11,3,1,1,6,225,20,0,30,10,1140,0,0,0,NA,NA,NA,1,1,NA,8,2,1,1,2
15310,1,2,6,35,1,2,2,2,720,0,30,1080,0,0,0,0,0,1,2,1,1,2,1,1,2,2,2,2
15311,2,2,6,46,1,5,2,6,360,105,75,660,50,225,0,0,0,NA,NA,NA,1,1,NA,1,1,1,1,1
15312,7,2,3,47,1,2,6,6,565,210,120,1440,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
15313,5,1,5,24,1,1,1,6,510,60,150,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
15314,7,2,3,24,1,2,3,6,455,0,275,1090,75,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
15315,3,1,1,35,1,3,1,3,390,30,30,780,30,720,0,0,0,NA,NA,NA,1,1,NA,2,1,2,1,2
15316,5,1,1,12,1,7,1,3,480,0,90,255,0,525,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2
15317,5,2,1,48,1,6,2,6,600,0,190,0,0,0,0,0,0,NA,NA,NA,1,1,NA,1,1,1,1,2
15318,7,2,3,24,2,1,3,6,275,280,30,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
15319,6,2,3,59,1,1,5,6,1195,0,20,1340,0,0,0,0,0,NA,2,2,2,2,NA,8,1,2,2,1
15320,6,2,1,12,1,5,1,6,510,30,185,205,30,0,0,0,0,NA,2,2,2,2,NA,8,1,2,2,2
15321,5,2,1,24,1,6,2,6,725,75,90,300,20,0,0,0,0,NA,NA,NA,1,1,NA,8,1,1,2,2
15322,7,2,1,10,1,5,1,6,590,60,175,155,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
15323,1,2,6,10,2,5,1,6,230,170,45,220,0,0,0,0,0,NA,1,1,1,2,NA,5,2,2,2,2
15324,5,1,6,35,1,6,1,1,480,0,60,1440,0,570,0,0,0,NA,NA,NA,1,1,NA,2,2,1,1,2
15325,5,2,6,35,1,4,1,2,500,30,0,555,85,515,0,0,0,NA,NA,NA,1,1,NA,8,1,1,1,2
15326,3,2,1,12,2,3,1,1,540,0,225,420,0,0,0,0,0,NA,2,1,1,2,NA,8,2,1,1,2
15327,4,1,1,35,1,2,2,6,780,45,20,90,30,0,0,0,0,NA,NA,2,2,2,NA,1,2,2,2,2
15328,6,2,6,11,3,3,4,4,1185,125,30,925,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
15329,4,1,1,35,1,7,4,4,480,0,90,615,0,435,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2
15330,2,1,1,35,2,2,1,6,450,30,0,840,60,750,0,0,0,NA,NA,NA,1,1,NA,3,2,1,1,2
15331,4,1,1,13,1,2,2,3,450,60,140,450,55,0,0,0,0,NA,2,1,1,2,NA,1,2,2,1,2
15332,3,1,4,13,1,4,2,6,430,30,20,1440,40,710,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2
15333,5,2,5,46,2,4,6,4,630,180,90,1290,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
15334,5,2,1,35,1,1,2,1,525,0,0,15,0,0,0,0,0,NA,2,2,2,2,NA,8,2,1,2,2
15335,5,1,3,24,1,4,3,2,600,60,0,780,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
15336,4,1,2,24,1,3,1,6,780,120,0,180,0,0,0,0,0,NA,NA,NA,1,1,NA,1,1,1,2,2
15337,6,1,1,13,1,7,1,6,620,0,30,880,130,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2
15338,6,1,1,47,1,6,2,6,450,0,90,200,50,0,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,2
15339,7,1,1,46,1,2,6,1,510,60,60,0,25,0,0,0,0,NA,2,1,1,2,NA,8,2,2,2,2
15340,3,2,6,35,1,2,3,4,480,0,15,1440,20,545,0,0,0,NA,NA,NA,1,1,NA,1,1,2,2,2
15341,6,2,1,35,1,5,6,6,660,120,150,450,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
15342,4,2,1,35,1,5,1,6,765,0,180,765,0,240,0,0,0,NA,NA,NA,1,1,NA,2,2,2,1,2
15343,6,2,5,24,1,1,2,6,510,0,225,510,150,0,0,0,0,NA,2,2,2,2,NA,8,1,1,2,2
15344,3,2,1,48,2,4,4,1,440,0,100,250,0,240,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2
15345,4,2,1,24,1,NA,2,6,480,45,110,60,40,495,0,0,0,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA
15346,7,2,3,13,1,2,6,6,360,45,235,830,70,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
15347,6,1,6,12,1,3,6,6,485,0,75,1440,50,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
15348,2,2,1,35,1,2,2,2,870,90,0,750,0,0,0,0,0,NA,NA,NA,1,1,NA,2,1,1,1,1
15349,7,2,1,48,2,4,2,6,600,240,0,735,0,0,0,0,0,NA,2,2,2,2,NA,8,2,NA,2,1
15350,7,2,1,46,1,2,1,6,435,45,90,330,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
15351,5,2,1,48,1,3,1,4,360,30,10,675,75,545,0,0,0,NA,NA,NA,1,1,NA,8,1,1,1,1
15352,1,1,6,12,2,2,4,3,660,10,50,880,0,0,0,0,0,NA,1,1,1,2,NA,1,1,2,2,2
15353,7,2,6,10,2,5,3,6,535,30,80,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
15354,5,1,1,10,2,4,2,6,330,0,30,900,0,900,0,0,0,NA,NA,NA,1,1,NA,8,1,2,2,2
15355,7,2,3,47,2,2,6,4,450,120,90,1230,40,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
15356,4,2,2,24,1,4,2,1,280,0,135,130,0,0,0,0,0,NA,2,1,1,2,NA,2,2,1,2,1
15357,2,1,6,24,1,4,2,2,540,75,15,1035,0,0,0,0,0,NA,1,1,1,2,NA,2,1,1,2,2
15358,6,1,1,59,1,2,3,6,510,0,105,460,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
15359,1,2,6,46,2,1,3,3,570,130,0,600,0,0,440,0,0,1,2,2,2,2,1,4,2,2,2,2
15360,6,2,5,24,1,1,4,6,520,90,135,910,105,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
15361,4,2,1,10,2,1,6,1,630,215,45,510,0,0,0,0,0,NA,2,2,2,2,NA,8,1,2,1,2
15362,2,2,6,24,1,NA,1,3,765,0,55,80,90,0,0,0,0,NA,2,1,1,2,2,5,2,2,1,2
15363,7,2,1,24,2,1,4,4,480,25,70,0,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
15364,6,1,2,48,1,1,1,4,780,0,15,1080,240,0,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2
15365,6,1,1,24,1,7,2,3,455,10,95,725,35,440,0,0,0,NA,NA,NA,1,1,NA,8,2,1,2,2
15366,5,1,1,35,2,4,2,2,420,0,45,70,20,0,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,2
15367,6,2,3,35,1,3,6,6,855,0,90,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
15368,3,2,1,35,1,4,2,2,490,0,45,425,0,0,0,0,0,NA,2,2,2,2,NA,6,2,2,1,2
15369,5,2,1,46,2,4,2,4,510,0,30,540,0,480,0,0,0,NA,NA,NA,1,1,NA,2,1,2,2,2
15370,6,1,5,12,1,2,3,5,480,0,360,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,1,2,2,2
15371,6,2,5,59,1,NA,2,5,405,210,60,1320,40,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
15372,7,1,2,24,1,1,2,4,330,120,165,540,0,0,0,0,0,NA,2,2,2,2,NA,8,2,1,2,2
15373,2,2,6,59,1,4,5,2,510,0,30,890,60,325,0,0,215,NA,NA,NA,1,1,NA,2,2,2,2,2
15374,6,2,6,13,2,1,4,2,555,75,60,1230,0,0,0,0,0,NA,1,2,1,2,NA,8,2,1,2,2
15375,5,1,1,24,1,7,1,3,480,35,35,1440,0,620,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2
15376,2,2,1,35,2,2,2,2,360,120,30,740,80,495,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,2
15377,6,1,1,35,2,4,6,6,600,270,30,540,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
15378,6,1,1,35,1,6,2,2,620,30,135,150,265,0,0,0,0,NA,2,1,1,2,NA,2,2,2,2,2
15379,5,2,1,24,1,4,2,2,345,60,135,120,20,0,0,0,0,NA,2,1,1,2,NA,1,2,2,2,2
15380,6,2,1,13,1,7,4,2,450,15,115,30,10,0,0,0,0,NA,2,2,2,2,NA,8,2,NA,2,2
15381,5,2,6,35,1,4,1,3,285,40,40,1200,60,0,0,0,0,NA,2,2,2,2,NA,2,1,2,1,2
15382,6,2,1,48,1,2,6,3,630,60,60,1170,30,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
15383,4,2,1,13,1,2,1,6,510,0,180,0,0,555,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,1
15384,3,2,1,10,2,1,2,5,450,135,30,960,30,435,0,0,0,NA,NA,NA,1,1,NA,8,2,1,2,NA
15385,5,1,1,24,1,6,3,6,435,0,55,260,30,600,0,0,0,NA,NA,NA,1,1,NA,8,2,1,1,2
15386,1,1,6,35,1,1,5,1,720,15,45,1230,0,0,0,0,0,1,1,1,1,2,1,1,2,2,1,2
15387,6,2,3,12,1,2,4,2,450,40,25,1360,25,0,0,0,0,NA,2,2,2,2,NA,1,2,2,1,2
15388,6,1,5,24,1,6,6,6,510,90,150,1290,90,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
15389,4,1,1,13,2,6,2,4,450,60,95,75,55,480,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,2
15390,2,2,1,48,1,NA,2,6,540,60,165,0,555,0,0,0,0,NA,2,2,2,2,2,1,1,2,2,2
15391,7,2,1,48,1,3,1,6,585,0,105,980,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
15392,7,2,3,12,1,2,2,5,480,30,60,900,90,480,0,0,0,NA,2,1,1,2,NA,8,1,2,1,2
15393,5,1,1,24,1,6,5,6,570,20,50,475,25,0,0,0,0,NA,2,1,1,2,NA,1,2,2,2,2
15394,5,2,3,24,1,2,1,5,380,30,40,1100,25,350,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2
15395,3,2,2,24,1,7,1,4,555,180,0,1065,0,240,0,0,0,NA,NA,NA,1,1,NA,5,2,1,2,2
15396,4,2,2,10,2,2,3,6,535,0,240,550,10,0,0,0,0,NA,NA,NA,1,1,NA,2,2,1,1,2
15397,2,2,1,24,1,4,6,5,660,0,30,0,110,0,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2
15398,2,2,1,24,1,6,1,4,595,110,150,0,0,0,0,0,0,NA,2,1,1,2,NA,1,2,2,2,1
15399,3,1,2,24,1,3,1,6,510,30,70,235,10,580,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,2
