PUMFID,AGEGR10,SEX,MARSTAT,PRV,LUC_RST,EHG_ALL,GTU_110,GTU_130,DUR01,DUR05,DUR06,DURS200,DURL313,DUR08,DUR13,DUR14,DUR15,MRW_20,MRW_30,MRW_40,MRW_D40A,MRW_D40B,EDM_02,TST_01,TCS_110,TCS_120,TCS_150,TCS_200
17145,3,1,6,35,1,2.0,3.0,2.0,450,60,0,1380,220,555,0,0,0,,,,1,1,,2.0,2.0,2.0,2.0,2.0
17146,7,2,3,35,1,1.0,6.0,2.0,480,240,0,1440,60,0,0,0,0,,2.0,2.0,2,2,,8.0,2.0,2.0,2.0,2.0
17147,6,2,5,46,1,2.0,5.0,3.0,570,165,15,1440,0,0,0,0,0,,2.0,2.0,2,2,,8.0,2.0,2.0,1.0,2.0
17148,4,2,1,59,1,4.0,1.0,6.0,495,10,30,595,60,620,0,0,0,,,,1,1,,8.0,2.0,1.0,2.0,2.0
17149,5,1,1,48,1,,6.0,4.0,355,0,0,790,0,695,0,0,0,,,,2,2,,1.0,2.0,2.0,2.0,2.0
17150,6,2,5,46,1,7.0,3.0,4.0,420,60,0,985,30,0,0,0,0,,,,1,1,,1.0,2.0,2.0,2.0,2.0
17151,5,1,3,35,1,2.0,4.0,1.0,765,100,0,1260,0,0,0,0,0,,2.0,2.0,2,2,,8.0,2.0,2.0,2.0,2.0
17152,2,1,1,48,1,7.0,2.0,4.0,500,70,60,70,70,530,0,0,0,,,,1,1,,1.0,2.0,2.0,1.0,2.0
17153,2,1,1,46,1,2.0,1.0,3.0,360,30,40,390,0,750,0,0,0,,,,1,1,,3.0,2.0,2.0,2.0,1.0
17154,4,2,6,24,1,4.0,1.0,6.0,420,60,90,880,60,450,0,0,0,,,,1,1,,3.0,1.0,2.0,1.0,1.0
17155,4,2,1,10,1,4.0,1.0,3.0,440,30,105,395,50,315,0,0,0,,,,1,1,,5.0,2.0,2.0,2.0,2.0
17156,5,1,6,24,1,6.0,6.0,6.0,600,0,90,690,0,0,0,0,0,,2.0,2.0,2,2,,8.0,2.0,1.0,2.0,2.0
17157,1,1,6,47,2,3.0,3.0,2.0,520,0,40,0,55,0,0,0,0,,,,1,1,,4.0,1.0,2.0,1.0,2.0
17158,6,2,3,35,1,2.0,2.0,2.0,420,210,30,1065,100,0,0,0,0,,2.0,2.0,2,2,,2.0,2.0,2.0,2.0,2.0
17159,5,1,6,35,1,1.0,2.0,1.0,780,0,60,1440,0,0,0,0,0,,,2.0,2,2,,1.0,2.0,2.0,1.0,1.0
17160,5,2,2,12,1,2.0,2.0,3.0,375,0,65,870,50,720,0,0,0,,,,1,1,,1.0,2.0,1.0,2.0,2.0
17161,1,1,6,59,1,3.0,1.0,4.0,420,15,15,740,65,450,0,0,0,,,,1,1,,1.0,2.0,2.0,2.0,2.0
